Id,Project Name,Github URLs,SHA
55,Cognifide.Maven-CRX-Plugin,https://github.com/Cognifide/Maven-CRX-Plugin.git,288f738bf4b75a1d4c7d7c6aca77ba5193071ed6
56,corley.aws-ant-task,https://github.com/corley/aws-ant-task.git,9f72d0d6d6c6504c856f6c6529b6a9a29656169f
57,Cue.lucene-interval-fields,https://github.com/Cue/lucene-interval-fields.git,8f8bff6d0011df7d6efad65e37d4b14ca9fea010
58,culturegraph.metafacture-core,https://github.com/culturegraph/metafacture-core.git,314b65ff0826914264d396e6b60a59fa29d7b4d3
59,dadoonet.dropbox,https://github.com/dadoonet/dropbox.git,789e295ddcd44e8bc0eef16f157826b5fdb19416
60,dblevins.metatypes,https://github.com/dblevins/metatypes.git,0421d28d7f64161509a045e52b25ed6df09f0db3
61,apache.shiro,https://github.com/apache/shiro.git,97528963c98e834f5ae8f8fd966483a25c02e474
62,edanuff.CassandraCompositeType,https://github.com/edanuff/CassandraCompositeType.git,6d09cceb93450dafab894b4a4bec17792d3bb0cb
63,flow.flow-nbt,https://github.com/flow/flow-nbt.git,1dc11f877a79345d425a62a350604d278548fd88
64,Fruzenshtein.spr-mvc-hib,https://github.com/Fruzenshtein/spr-mvc-hib.git,402f6d6a5fde7087ff10c77986b89ee54c056fef
65,fusesource.hawtjournal,https://github.com/fusesource/hawtjournal.git,48aad0620a667d69a8fc22980916f94046a0658e
66,ganglia.jmxetric,https://github.com/ganglia/jmxetric.git,0b21edb9bd75e0b2df8370ad1c77a1ea47f502ca
67,gatein.gatein-api-java,https://github.com/gatein/gatein-api-java.git,c57c4614ac2f41ffcc015a3763245c29125c1904
68,genthaler.jetty-jsp-unit-test-simple,https://github.com/genthaler/jetty-jsp-unit-test-simple.git,ace6273bb13ac4f565ae6728c7dc3c8b7e30db1a
69,ingenieux.beanstalker,https://github.com/ingenieux/beanstalker.git,5d532a741110a57a295a324e1fbe8b8984b4e608
70,intesar.GMailJava,https://github.com/intesar/GMailJava.git,94b43633406837502f669f1ba38275f72a854541
71,in-the-keyhole.khs-sherpa,https://github.com/in-the-keyhole/khs-sherpa.git,0fa1c014bab990131e11c03bd9d3d687b0956104
72,iron9light.coffeescript-maven-plugin,https://github.com/iron9light/coffeescript-maven-plugin.git,390a0ef0cd94ce67873061b1a9e1eb2d6d85e304
73,JakeWharton.resourcefs,https://github.com/JakeWharton/resourcefs.git,4d98b4d12086901d707a6b6d9e38ce84b3bc09e1
74,jscep.jscep,https://github.com/jscep/jscep.git,a224cc25369831c26231b47767485af1abfbe270
75,kohsuke.libpam4j,https://github.com/kohsuke/libpam4j.git,38a1ba41c4bace68c9105ad5a1f87a5cce74c06c
76,laforge49.JFile,https://github.com/laforge49/JFile.git,fd292da66a78dafc41ef408420b914b949c9a24d
77,laforge49,https://github.com/laforge49/JID.git,1dde11d72a17f3c3c3a690b8b17e3d27f3333e3a
78,recrack.kornakapi,https://github.com/recrack/kornakapi.git,a47e34c43a3c68c40ec01a4e2230e6051e89877c
79,sitespeedio.crawler,https://github.com/sitespeedio/crawler.git,715ee7f1454eec14bebcb6d12563dfc32d9bbf48
80,asterisk-java,https://github.com/srt/asterisk-java.git,84d890b8b852b6d3f14768ec651dbb710eacf57b
81,srt.asterisk-java-iax,https://github.com/srt/asterisk-java-iax.git,27b63e2b307262eecba7fe98c62a42def799c2c2
82,SSilence.scotty,https://github.com/SSilence/scotty.git,24d0f6745a3ad96ec345169b9e6ad4101214897f
83,stain.jai-imageio-core,https://github.com/stain/jai-imageio-core.git,45da533fecd8f419fca107513092f4c74bfb7d65
84,tatsuhiro-t.argparse4j,https://github.com/tatsuhiro-t/argparse4j.git,c986cadacd19bf5325ff0baed5efccaeadd51e9c
85,tbuktu.ntru,https://github.com/tbuktu/ntru.git,8126929e32d00ed321e836e0792145dcbb6516df
86,zhuoran.crawler4j,https://github.com/zhuoran/crawler4j.git,348d9d5874d17456691b6ad4b4d43bf71f380018
87,zznate.cassandra-stress,https://github.com/zznate/cassandra-stress.git,f43d3008e77ffbfe43671a87494fa32c6ab1725a
88,bcel,https://github.com/apache/commons-bcel.git,24014e5eabb321adf276f90599bddedb018e88aa
89,healthonnet.hon-lucene-synonyms,https://github.com/healthonnet/hon-lucene-synonyms.git,55ba18f89dd130a6adb408e57435875016995de2
90,laaglu.lib-gwt-svg,https://github.com/laaglu/lib-gwt-svg.git,09e0e0c39282d41b29616abc97ff9ed9b9be9bff
