project_norm,path,object,status,count_siesta,count_javamop,diff_abs,reason,occurrence_idx
apachecreadurrat,org/apache/rat/defaults.java:106,treesetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/defaults.java:174,treesetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/analysis/documentheaderanalyser.java:61,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/walker/directorywalkertest.java,closeablemultipleclose,falsealarm,2,0,2,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/walker/directorywalkertest.java,closeablemultipleclose,falsealarm,2,0,2,both_projects_different_multiset,2
apachecreadurrat,com/google/common/cache/localcache.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/policy/defaultpolicy.java:43,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,com/google/common/collect/abstractmapbasedmultimap.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/annotation/testlicenseappender.java,closeablemultipleclose,falsealarm,2,0,2,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/annotation/testlicenseappender.java,closeablemultipleclose,falsealarm,2,0,2,both_projects_different_multiset,2
apachecreadurrat,org/apache/rat/defaults.java:164,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,apache.creadur-rat/test/java/org/apache/rat/regressiontest25.java,comparablecomparetonull,truebug,0,2,2,both_projects_different_multiset,1
apachecreadurrat,apache.creadur-rat/test/java/org/apache/rat/regressiontest25.java,comparablecomparetonull,truebug,0,2,2,both_projects_different_multiset,2
apachecreadurrat,apache.creadur-rat/test/java/org/apache/rat/regressiontest1.java,comparablecomparetonull,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/commons/io/input/xmlstreamreader.java,inputstreamunmarkedreset,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/policy/defaultpolicy.java:51,treesetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,com/google/common/collect/maps.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,net/bytebuddy/description/annotation/annotationlist.java:107,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,net/bytebuddy/dynamic/scaffold/methodgraph.java:1897,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,net/bytebuddy/description/type/recordcomponentlist.java:62,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/eclipse/sisu/space/asm/classreader.java:330,bytearrayoutputstreamflushbeforeretrieve,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,apache.creadur-rat/test/java/org/apache/rat/regressiontest26.java,comparablecomparetonull,truebug,0,1,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/policy/defaultpolicy.java:43,treesetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/report/xml/xmlreporttest.java:103,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/tools/ant/util/propertyoutputstream.java:66,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/defaults.java:164,treesetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/walker/directorywalkertest.java:48,writermanipulateafterclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,apache.creadur-rat/test/java/org/apache/rat/regressiontest1.java,comparablecomparetonull,truebug,0,2,2,both_projects_different_multiset,1
apachecreadurrat,apache.creadur-rat/test/java/org/apache/rat/regressiontest1.java,comparablecomparetonull,truebug,0,2,2,both_projects_different_multiset,2
apachecreadurrat,com/google/common/collect/singletonimmutablelist.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,com/google/common/collect/regularimmutableset.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,net/bytebuddy/description/method/methodlist.java:77,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/config/addlicenseheaders.java:35,enumuserfriendlyname,truebug,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/license/licensefamilysetfactory.java:137,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/commons/lang3/stringutils.java:560,charactervalidatechar,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/reportconfiguration.java:358,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/annotation/abstractlicenseappender.java,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/configuration/builders/childcontainerbuilder.java,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,net/bytebuddy/matcher/filterablelist.java:111,collectionstandardconstructors,truebug,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/config/reportformat.java:28,enumuserfriendlyname,truebug,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/maven/surefire/report/pojostacktracewriter.java:48,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/license/licensefamilysetfactory.java:88,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachegora,gora.persistency.impl.testpersistentbase:349,enumuserfriendlyname,truebug,1,0,1,both_projects_different_multiset,1
apachegora,de/flapdoodle/embed/process/runtime/network.java:80,serversocketbacklog,falsealarm,0,1,1,both_projects_different_multiset,1
apachegora,gora.persistency.impl.testpersistentbase,enumuserfriendlyname,truebug,1,0,1,both_projects_different_multiset,1
apachegora,org/apache/gora/util/testwritableutils.java,bytearrayoutputstreamflushbeforeretrieve,falsealarm,0,1,1,both_projects_different_multiset,1
apachegora,gora/persistency/impl/dirtycollectionwrapper.java:1,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
asteriskjava,org/asteriskjava/util/internal/streamreader/fastscannerrandomtest.java:89,closeablemultipleclose,falsealarm,1,0,1,project_only_in_siesta,1
asteriskjava,net/bytebuddy/description/field/fieldlist.java:178,collectionstandardconstructors,falsealarm,1,0,1,project_only_in_siesta,1
asteriskjava,net/bytebuddy/description/type/recordcomponentlist.java:195,collectionstandardconstructors,falsealarm,1,0,1,project_only_in_siesta,1
asteriskjava,org/asteriskjava/util/internal/streamreader/fastscannerspeedtest.java:39,closeablemultipleclose,falsealarm,1,0,1,project_only_in_siesta,1
