project,sample,javamop_raw,siesta_raw,base_raw
gae-java-mini-profiler,9,10754,45197,2382
creadur-rat,9,74592,79055,46368
crawler,9,25601,10879,9840
connector4java,9,97287,77287,6124
gae-java-mini-profiler,10,10383,42282,3086
creadur-rat,10,95686,72059,36576
crawler,10,26418,10671,9579
connector4java,10,91076,71076,5924
gae-java-mini-profiler,codahale.og,MOP,,Defafault
creadur-rat,CassandraCompositeType,MOP,,Defafault
crawler,avro,MOP,,Defafault
connector4java,asterisk,MOP,,Defafault
codahale.og,1,71818,9630,1569
CassandraCompositeType,1,664190,323624,1231
avro,1,2524185,844285,309504
asterisk,1,99798,56929,42173
codahale.og,2,88371,8161,3811
CassandraCompositeType,2,503560,314575,1764
avro,2,2541725,801933,314973
asterisk,2,100279,48321,40557
codahale.og,3,68076,9014,4076
CassandraCompositeType,3,504600,261262,1959
avro,3,2564370,870442,286099
asterisk,3,102910,48056,33107
codahale.og,4,71604,10359,3480
CassandraCompositeType,4,573696,292940,1919
avro,4,2530829,921896,305587
asterisk,4,102996,53063,34116
codahale.og,5,70375,9749,3676
CassandraCompositeType,5,613817,268395,1994
avro,5,2782802,956326,269763
asterisk,5,85162,51980,35255
codahale.og,6,78609,10738,3506
CassandraCompositeType,6,523065,268523,2035
avro,6,2791072,1036087,294471
asterisk,6,88804,51434,36850
codahale.og,7,82660,10813,3471
CassandraCompositeType,7,568278,263548,1722
avro,7,2517267,990258,305723
asterisk,7,94166,55237,35120
codahale.og,8,58821,10960,3177
CassandraCompositeType,8,474395,309504,2135
avro,8,2487113,1071799,313796
asterisk,8,104280,60900,34945
codahale.og,9,61770,10386,3665
CassandraCompositeType,9,665426,261827,2063
avro,9,2521603,940818,272232
asterisk,9,100190,58895,36537
codahale.og,10,71983,11024,9584
CassandraCompositeType,10,520958,257307,2875
avro,10,2487071,962707,289599
asterisk,10,100425,61693,36029
